user	item	feature_path
1	1	[403, -118, -5161, 66, -235, -2176]
1	3	[-403, 394, 1128]
1	5	[403, -118, -5161, 66, -235, -2176]
1	6	[403, -118, -5161, 66, -235, -2176]
1	7	[403, -118, -5161, 66, -235, -2176]
1	8	[-403, 394, 1128]
1	245	[403, -118, -5161, 66, -235, -2176]
1	281	[-403, 394, 1128]
1	187	[403, -118, -5161, 66, -235, -2176]
1	477	[403, -118, -5161, 66, -235, -2176]
1	799	[-403, 394, -1128, 4235]
2	331	[1597, -1622]
2	11	[1597, -1622]
2	12	[-1597, 616, -271, -1459]
2	334	[-1597, -616, 6540]
2	14	[1597, -1622]
2	15	[1597, -1622]
2	16	[1597, -1622]
2	177	[-1597, 616, -271, -1459]
2	1371	[1597, -1622]
3	8	[591, -918, -4787, -52, -2333]
3	394	[-591, -4121, -123, -2092, -66, -952, 5334]
3	17	[-591, 4121, -1350]
3	145	[591, -918, -4787, -52, -2333]
3	18	[-591, -4121, -123, -2092, -66, 952, -4782]
3	19	[591, -918, -4787, -52, -2333]
3	20	[-591, -4121, -123, -2092, -66, 952, -4782]
3	21	[-591, -4121, -123, -2092, -66, -952, -5334, 31, -51, -90]
3	23	[591, -918, -4787, -52, -2333]
3	25	[-591, -4121, -123, -2092, -66, -952, -5334, 31, -51, -90]
3	26	[-591, -4121, -123, -2092, -66, -952, 5334]
3	668	[-591, -4121, -123, -2092, -66, -952, -5334, 31, -51, -90]
3	28	[591, -918, -4787, -52, -2333]
3	29	[-591, -4121, -123, 2092, 53]
3	30	[591, -918, -4787, -52, -2333]
3	31	[-591, 4121, -1350]
3	32	[591, -918, -4787, -52, -2333]
3	455	[-591, -4121, -123, -2092, -66, 952, -4782]
3	459	[-591, -4121, -123, 2092, 53]
3	1365	[-591, -4121, -123, 2092, 53]
3	353	[-591, 4121, -1350]
3	636	[-591, -4121, -123, 2092, 53]
4	386	[6, 222]
4	35	[6, -222, 70, -64, -39]
4	36	[6, 222]
4	37	[6, 222]
4	38	[6, 222]
4	39	[6, -222, 70, -64, -39]
4	467	[6, 222]
4	1494	[6, -222, 70, -64, -39]
5	804	[70, -82, -465, -3839, -2461, -6704, -5254, -1317, -3261]
5	41	[70, -82, -465, -3839, -2461, -6704, -5254, -1317, -3261]
5	42	[70, -82, -465, -3839, -2461, -6704, -5254, -1317, -3261]
5	43	[70, -82, -465, -3839, -2461, -6704, -5254, -1317, -3261]
5	1963	[70, -82, -465, -3839, -2461, -6704, -5254, -1317, -3261]
5	44	[70, -82, -465, -3839, -2461, -6704, -5254, -1317, -3261]
5	46	[70, -82, -465, -3839, -2461, -6704, -5254, -1317, -3261]
5	2193	[70, -82, -465, -3839, -2461, -6704, -5254, -1317, -3261]
5	2390	[70, -82, -465, -3839, -2461, -6704, -5254, -1317, -3261]
5	31	[70, -82, -465, -3839, -2461, -6704, -5254, -1317, -3261]
6	2	[70, 675]
6	2187	[70, 675]
6	783	[70, -675, -2830, 415, -4322]
6	48	[-70, 333, -66, -4114]
6	47	[-70, 333, -66, -4114]
6	49	[70, 675]
6	305	[70, 675]
6	50	[70, -675, -2830, 415, -4322]
6	51	[70, -675, 2830]
6	345	[70, 675]
6	1435	[70, -675, 2830]
7	2392	[-18, -2351, -4154, -968, 5611]
7	2375	[-18, 2351, -5815]
7	158	[-18, -2351, 4154, -5269]
7	44	[-18, -2351, -4154, -968, -5611, -6705, 3859]
7	236	[-18, -2351, -4154, 968]
7	1425	[-18, -2351, 4154, -5269]
7	55	[-18, -2351, 4154, -5269]
7	56	[-18, 2351, -5815]
7	57	[-18, 2351, -5815]
7	59	[-18, -2351, -4154, -968, -5611, 6705]
7	2391	[-18, -2351, -4154, 968]
8	64	[-961, -3268, -2280, 394, 70, -1924, -403, -14]
8	65	[961, -25, -2045, -5273]
8	66	[961, -25, -2045, -5273]
8	67	[-961, -3268, 2280, -51]
8	321	[961, -25, -2045, -5273]
8	69	[961, -25, -2045, -5273]
8	50	[961, -25, -2045, -5273]
8	211	[961, -25, -2045, -5273]
8	1080	[-961, 3268]
8	221	[961, -25, -2045, -5273]
8	61	[-961, -3268, -2280, 394, 70, -1924, -403, -14]
8	62	[-961, 3268]
8	63	[-961, -3268, 2280, -51]
9	32	[1933, -5435, -2731]
9	6	[1933, -5435, -2731]
9	7	[1933, -5435, -2731]
9	71	[-1933, 1134, -403, -2643, -3861]
9	74	[-1933, -1134, -66, -423, -3282, 5791]
9	42	[1933, -5435, -2731]
9	75	[-1933, 1134, -403, -2643, -3861]
9	651	[-1933, -1134, -66, 423]
9	76	[-1933, -1134, -66, -423, 3282]
9	77	[1933, -5435, -2731]
9	604	[-1933, 1134, -403, -2643, -3861]
10	8	[3806, -3955]
10	80	[3806, -3955]
10	81	[3806, -3955]
10	177	[-3806, -4319, 4692]
10	83	[-3806, 4319]
10	181	[-3806, -4319, -4692, 7665]
10	1213	[3806, -3955]
10	254	[-3806, 4319]
11	519	[-3247, 1723]
11	8	[3247, -3258]
11	85	[-3247, 1723]
11	86	[-3247, -1723, -198, 258]
11	88	[-3247, -1723, 198]
11	2393	[3247, -3258]
11	636	[3247, -3258]
12	227	[18, -1244, -593, -226, -138, 32]
12	2394	[18, -1244, -593, 226]
12	1327	[18, -1244, -593, -226, -138, 32]
12	337	[18, -1244, -593, -226, -138, -32, 6167]
12	308	[18, -1244, -593, 226]
12	89	[-18, 6087]
12	90	[18, -1244, -593, -226, -138, 32]
12	91	[18, -1244, -593, 226]
13	96	[-5818, -77, -5305, -587, 2249]
13	99	[-5818, -77, -5305, -587, -2249, 5238]
13	100	[-5818, -77, -5305, 587, 335]
13	8	[-5818, -77, 5305, -2132]
13	105	[-5818, -77, -5305, 587, 335]
13	2121	[-5818, -77, 5305, -2132]
13	109	[5818]
13	2037	[5818]
14	38	[-1139, -2380, 123, 31, -608, -1426]
14	7	[1139, -6147, -5908]
14	103	[-1139, 2380]
14	73	[1139, -6147, -5908]
14	105	[1139, -6147, -5908]
14	138	[-1139, 2380]
14	12	[-1139, -2380, 123, 31, -608, -1426]
14	308	[1139, -6147, -5908]
15	197	[-5818, -3966, -66, -5457, -25, 534]
15	1929	[5818]
15	106	[5818]
15	108	[-5818, -3966, -66, -5457, 25]
15	109	[5818]
15	19	[-5818, 3966, 1573]
15	278	[-5818, 3966, 1573]
15	2395	[-5818, -3966, -66, 5457]
16	96	[90, -157, -3251, -6080, -410, 4370]
16	8	[90, -157, 3251, -1158]
16	202	[90, -157, 3251, -1158]
16	112	[90, -157, 3251, -1158]
16	113	[90, -157, -3251, -6080, 410]
16	114	[90, -157, 3251, -1158]
16	116	[90, -157, -3251, 6080]
16	1144	[90, -157, -3251, 6080]
17	121	[704, -3226, -264]
17	8	[-704, 4570, -1374]
17	50	[704, -3226, -264]
17	54	[704, -3226, -264]
17	119	[704, -3226, -264]
17	120	[-704, -4570, 4091]
17	246	[-704, 4570, -1374]
17	122	[704, -3226, -264]
18	128	[-3245, 2488, 499]
18	129	[3245]
18	130	[3245]
18	1522	[-3245, 2488, 499]
18	248	[-3245, -2488, 6919]
18	124	[3245]
18	125	[3245]
18	127	[3245]
19	131	[-3253, -3461, -66, -6, 4106]
19	132	[-3253, 3461]
19	133	[-3253, -3461, -66, -6, -4106, 6690]
19	134	[-3253, -3461, -66, -6, -4106, -6690, 5789]
19	135	[3253]
19	8	[3253]
19	637	[3253]
19	414	[-3253, 3461]
20	768	[307, -2190]
20	128	[-307, 2404]
20	2	[-307, -2404, 2105, -1651]
20	6	[307, -2190]
20	137	[-307, -2404, 2105, -1651]
20	138	[-307, 2404]
20	1393	[307, -2190]
21	140	[-1136, -627, 1164, 394, -4127]
21	141	[1136]
21	143	[1136]
21	722	[-1136, -627, 1164, 394, -4127]
21	50	[1136]
21	19	[1136]
21	1145	[-1136, 627, 301]
21	2398	[-1136, 627, 301]
22	2400	[2580, -567, -1148]
22	515	[-2580, 2239]
22	106	[-2580, -2239, -66, -24, 5121]
22	146	[2580, -567, -1148]
22	147	[2580, -567, -1148]
22	148	[-2580, -2239, -66, -24, -5121, 6731]
22	149	[-2580, -2239, -66, 24, -79]
22	121	[2580, -567, -1148]
22	734	[-2580, -2239, -66, 24, -79]
22	2399	[-2580, 2239]
23	128	[-2381, 394, -88, -1678, -1000]
23	2401	[-2381, 394, -88, -1678, -1000]
23	595	[-2381, 394, -88, -1678, -1000]
23	151	[2381, -3461]
23	152	[2381, -3461]
23	153	[2381, -3461]
23	154	[2381, -3461]
24	70	[1052, -51, -359, -1324]
24	155	[1052, -51, -359, -1324]
24	50	[1052, -51, -359, -1324]
24	19	[1052, -51, -359, -1324]
24	1499	[-1052, 4341]
24	156	[1052, -51, -359, -1324]
25	160	[-133, 4513]
25	161	[-133, -4513, -2081, 6661]
25	162	[-133, -4513, -2081, 6661]
25	163	[-133, -4513, 2081]
25	6	[-133, 4513]
25	523	[-133, 4513]
25	185	[-133, -4513, 2081]
25	159	[-133, -4513, -2081, -6661, 4426]
26	162	[898, -619, -5912]
26	163	[-898, -359, 115, -415, -55]
26	66	[898, -619, -5912]
26	6	[898, -619, -5912]
26	167	[-898, 359, -3865, 4180]
26	199	[-898, -359, 115, -415, -55]
26	169	[-898, 359, 3865]
26	42	[898, -619, -5912]
26	171	[-898, 359, -3865, -4180, 5680]
26	651	[-898, -359, -115, 424, 3281]
26	341	[-898, 359, 3865]
26	53	[898, -619, -5912]
26	507	[-898, 359, 3865]
26	158	[-898, 359, -3865, 4180]
27	172	[123, -499, -536, 5, 133, -1724]
27	174	[-123, 6704]
27	175	[123, -499, -536, 5, 133, -1724]
27	176	[123, -499, -536, 5, 133, -1724]
27	278	[123, -499, -536, 5, 133, -1724]
27	1465	[123, -499, -536, 5, 133, -1724]
28	65	[591, -107]
28	2	[591, -107]
28	458	[591, -107]
28	177	[-591, 394, 144, -7575]
28	1073	[-591, -394, 1586]
28	305	[-591, 394, 144, -7575]
28	178	[-591, 394, -144, 4514]
28	179	[-591, -394, -1586, 7665]
28	180	[-591, 394, 144, -7575]
28	1598	[-591, -394, -1586, -7665, 4797]
29	160	[403, -1695, -1347, -1024, -1027, -6591, -6401]
29	545	[-403, 635]
29	66	[403, -1695, -1347, -1024, -1027, -6591, -6401]
29	171	[403, -1695, -1347, -1024, -1027, -6591, -6401]
29	113	[-403, -635, 4540]
29	53	[-403, 635]
29	184	[-403, -635, -4540, 5790]
29	186	[403, -1695, -1347, -1024, -1027, -6591, -6401]
29	187	[403, -1695, -1347, -1024, -1027, -6591, -6401]
29	31	[403, -1695, -1347, -1024, -1027, -6591, -6401]
30	192	[-31, 5789, 7665]
30	324	[-31, -5789, 66, -1552, 44, -82, -73]
30	231	[-31, -5789, 66, -1552, 44, -82, -73]
30	9	[-31, -5789, 66, -1552, 44, -82, -73]
30	1135	[-31, 5789, -7665]
30	188	[-31, -5789, 66, 1552]
30	189	[-31, 5789, 7665]
30	190	[-31, -5789, 66, 1552]
31	192	[-157, -133, -32, -1692, -1166, -327, 5790]
31	193	[157, -118, -630, -2077, -1650]
31	1442	[157, -118, -630, -2077, -1650]
31	196	[157, -118, -630, -2077, -1650]
31	197	[-157, -133, -32, -1692, -1166, -327, -5790, 534]
31	5	[-157, -133, -32, -1692, 1166, -3130]
31	198	[157, -118, -630, -2077, -1650]
31	211	[157, -118, -630, -2077, -1650]
31	1334	[-157, -133, -32, -1692, 1166, -3130]
31	441	[-157, -133, -32, -1692, -1166, 327]
32	227	[1489, -790, -618, -3162]
32	200	[1489, -790, -618, -3162]
32	201	[-1489, -1933, 5350]
32	202	[-1489, 1933, 49]
32	141	[1489, -790, -618, -3162]
32	463	[-1489, 1933, 49]
32	112	[-1489, 1933, 49]
32	401	[1489, -790, -618, -3162]
32	19	[1489, -790, -618, -3162]
33	515	[860, 53]
33	391	[-860, -2220, 6134]
33	105	[860, -53, -32, -1011]
33	203	[860, 53]
33	205	[860, -53, -32, -1011]
33	206	[860, 53]
33	207	[-860, 2220]
33	147	[860, 53]
33	94	[-860, -2220, -6134, 3942]
34	2403	[-1705, 68, -12, -3415]
34	197	[-1705, -68, -2351, 3282]
34	422	[-1705, -68, 2351, -31]
34	77	[-1705, 68, -12, -3415]
34	208	[1705]
34	209	[-1705, 68, -12, -3415]
34	210	[-1705, 68, -12, -3415]
34	211	[-1705, -68, 2351, -31]
34	212	[1705]
34	2293	[1705]
35	768	[-70, 1842, -2686]
35	2405	[-70, -1842, 1411, -12, 32, -2659]
35	70	[70, -133, -335, 12]
35	5	[70, -133, -335, -12, 2114]
35	358	[70, -133, -335, 12]
35	213	[-70, -1842, 1411, -12, 32, -2659]
35	214	[-70, 1842, -2686]
35	216	[70, -133, -335, 12]
35	217	[70, -133, -335, 12]
35	218	[70, -133, -335, 12]
35	219	[70, -133, -335, -12, 2114]
36	288	[961, -83, -1251, -1884]
