feature	mapped_value
('0', '0')	1
('2', '2')	2
('6', '5')	3
('8', '7')	4
('4', '8')	5
('9', '9')	6
('9', '10')	7
('8', '12')	8
('11', '13')	9
('8', '14')	10
('13', '16')	11
('9', '17')	12
('5', '18')	13
('14', '8')	14
('15', '9')	15
('5', '19')	16
('16', '16')	17
('5', '20')	18
('17', '21')	19
('4', '22')	20
('8', '23')	21
('18', '24')	22
('5', '25')	23
('14', '27')	24
('5', '29')	25
('9', '32')	26
('21', '33')	27
('22', '36')	28
('4', '37')	29
('5', '38')	30
('5', '39')	31
('24', '40')	32
('15', '10')	33
('8', '42')	34
('15', '43')	35
('26', '44')	36
('28', '33')	37
('5', '47')	38
('5', '48')	39
('29', '13')	40
('31', '50')	41
('32', '36')	42
('21', '51')	43
('5', '52')	44
('9', '54')	45
('33', '55')	46
('34', '2')	47
('35', '21')	48
('36', '24')	49
('33', '56')	50
('5', '57')	51
('14', '22')	52
('5', '58')	53
('14', '37')	54
('5', '59')	55
('28', '51')	56
('15', '54')	57
('15', '18')	58
('15', '32')	59
('5', '61')	60
('4', '27')	61
('5', '62')	62
('5', '63')	63
('14', '64')	64
('4', '65')	65
('5', '66')	66
('42', '67')	67
('5', '68')	68
('9', '43')	69
('5', '69')	70
('9', '18')	71
('43', '70')	72
('44', '0')	73
('8', '71')	74
('45', '13')	75
('46', '13')	76
('15', '17')	77
('14', '65')	78
('4', '64')	79
('5', '73')	80
('48', '74')	81
('49', '75')	82
('5', '76')	83
('52', '78')	84
('14', '79')	85
('14', '80')	86
('29', '81')	87
('5', '82')	88
('34', '83')	89
('14', '84')	90
('5', '54')	91
('9', '87')	92
('53', '88')	93
('4', '90')	94
('17', '91')	95
('14', '92')	96
('8', '93')	97
('4', '95')	98
('4', '96')	99
('4', '80')	100
('4', '79')	101
('55', '88')	102
('8', '97')	103
('56', '88')	104
('14', '96')	105
('45', '81')	106
('57', '100')	107
('4', '92')	108
('5', '103')	109
('5', '105')	110
('58', '106')	111
('28', '107')	112
('4', '108')	113
('14', '108')	114
('8', '29')	115
('60', '78')	116
('9', '109')	117
('61', '100')	118
('62', '83')	119
('63', '78')	120
('14', '95')	121
('9', '111')	122
('4', '112')	123
('9', '113')	124
('19', '115')	125
('4', '116')	126
('4', '118')	127
('64', '107')	128
('5', '119')	129
('13', '106')	130
('9', '120')	131
('9', '121')	132
('4', '84')	133
('7', '115')	134
('66', '78')	135
('67', '88')	136
('14', '118')	137
('14', '90')	138
('9', '124')	139
('16', '125')	140
('14', '116')	141
('4', '126')	142
('7', '24')	143
('14', '126')	144
('35', '127')	145
('19', '24')	146
('14', '112')	147
('72', '130')	148
('6', '133')	149
('22', '134')	150
('5', '130')	151
('78', '133')	152
('15', '130')	153
('70', '139')	154
('8', '140')	155
('72', '141')	156
('5', '143')	157
('75', '144')	158
('33', '145')	159
('81', '147')	160
('15', '151')	161
('4', '152')	162
('5', '153')	163
('5', '141')	164
('62', '154')	165
('9', '151')	166
('46', '156')	167
('14', '152')	168
('45', '156')	169
('5', '157')	170
('4', '142')	171
('5', '160')	172
('35', '161')	173
('75', '141')	174
('89', '147')	175
('90', '40')	176
('8', '141')	177
('92', '154')	178
('4', '163')	179
('93', '141')	180
('94', '147')	181
('44', '164')	182
('14', '163')	183
('70', '130')	184
('95', '165')	185
('5', '9')	186
('29', '156')	187
('5', '166')	188
('31', '169')	189
('72', '139')	190
('5', '17')	191
('70', '141')	192
('5', '42')	193
('99', '147')	194
('93', '144')	195
('5', '172')	196
('8', '130')	197
('11', '156')	198
('102', '164')	199
('16', '147')	200
('104', '164')	201
('14', '174')	202
('106', '176')	203
('17', '161')	204
('8', '178')	205
('4', '180')	206
('33', '181')	207
('13', '147')	208
('53', '182')	209
('5', '184')	210
('32', '134')	211
('26', '185')	212
('75', '130')	213
('34', '154')	214
('93', '130')	215
('111', '164')	216
('112', '164')	217
('115', '165')	218
('5', '188')	219
('67', '182')	220
('15', '189')	221
('14', '180')	222
('15', '190')	223
('9', '153')	224
('120', '147')	225
('0', '164')	226
('9', '189')	227
('9', '130')	228
('33', '192')	229
('15', '153')	230
('122', '133')	231
('125', '193')	232
('2', '154')	233
('127', '147')	234
('128', '40')	235
('4', '174')	236
('9', '190')	237
('14', '196')	238
('4', '199')	239
('5', '203')	240
('133', '147')	241
('136', '130')	242
('8', '206')	243
('14', '199')	244
('138', '130')	245
('14', '214')	246
('4', '196')	247
('14', '216')	248
('4', '216')	249
('4', '218')	250
('148', '147')	251
('14', '218')	252
('149', '147')	253
('152', '147')	254
('4', '214')	255
('20', '24')	256
('8', '235')	257
('14', '236')	258
('14', '237')	259
('34', '239')	260
('14', '240')	261
('165', '241')	262
('15', '244')	263
('5', '246')	264
('9', '247')	265
('8', '249')	266
('4', '251')	267
('62', '239')	268
('14', '252')	269
('9', '253')	270
('14', '251')	271
('13', '256')	272
('28', '257')	273
('28', '258')	274
('22', '259')	275
('15', '247')	276
('21', '258')	277
('5', '261')	278
('35', '262')	279
('9', '263')	280
('4', '236')	281
('2', '264')	282
('4', '252')	283
('2', '239')	284
('21', '257')	285
('170', '268')	286
('170', '269')	287
('173', '241')	288
('92', '264')	289
('4', '237')	290
('15', '271')	291
('5', '272')	292
('15', '263')	293
('115', '273')	294
('5', '55')	295
('15', '274')	296
('4', '275')	297
('4', '240')	298
('34', '264')	299
('9', '274')	300
('14', '278')	301
('175', '241')	302
('5', '279')	303
('62', '264')	304
('64', '257')	305
('9', '271')	306
('14', '280')	307
('16', '256')	308
('176', '257')	309
('37', '24')	310
('178', '269')	311
('14', '285')	312
('4', '280')	313
('15', '287')	314
('17', '262')	315
('179', '241')	316
('4', '285')	317
('95', '273')	318
('4', '278')	319
('9', '287')	320
('32', '259')	321
('9', '244')	322
('178', '268')	323
('92', '239')	324
('15', '253')	325
('5', '289')	326
('156', '84')	327
('5', '360')	328
('8', '361')	329
('45', '363')	330
('15', '367')	331
('5', '369')	332
('33', '371')	333
('204', '373')	334
('5', '374')	335
('15', '375')	336
('22', '377')	337
('4', '378')	338
('13', '383')	339
('4', '385')	340
('28', '389')	341
('8', '390')	342
('206', '396')	343
('15', '399')	344
('5', '406')	345
('35', '407')	346
('192', '408')	347
('58', '383')	348
('31', '412')	349
('213', '413')	350
('44', '414')	351
('33', '415')	352
('14', '378')	353
('5', '416')	354
('214', '417')	355
('5', '421')	356
('4', '422')	357
('33', '424')	358
('206', '425')	359
('26', '426')	360
('14', '427')	361
('205', '428')	362
('216', '373')	363
('5', '430')	364
('4', '433')	365
('26', '412')	366
('4', '438')	367
('218', '413')	368
('9', '441')	369
('5', '443')	370
('5', '444')	371
('33', '445')	372
('14', '448')	373
('9', '451')	374
('4', '448')	375
('15', '459')	376
('205', '461')	377
('44', '462')	378
('204', '467')	379
('14', '470')	380
('14', '422')	381
('4', '474')	382
('33', '396')	383
('9', '367')	384
('205', '488')	385
('4', '427')	386
('33', '492')	387
('9', '494')	388
('6', '462')	389
('14', '385')	390
('5', '495')	391
('5', '496')	392
('5', '396')	393
('33', '425')	394
('33', '498')	395
('61', '499')	396
('57', '499')	397
('216', '467')	398
('15', '504')	399
('5', '505')	400
('17', '507')	401
('62', '147')	402
('5', '509')	403
('14', '474')	404
('15', '390')	405
('8', '515')	406
('42', '516')	407
('18', '517')	408
('5', '524')	409
('221', '526')	410
('33', '532')	411
('33', '535')	412
('9', '538')	413
('34', '147')	414
('4', '470')	415
('192', '83')	416
('64', '389')	417
('16', '547')	418
('8', '360')	419
('178', '154')	420
('14', '438')	421
('14', '433')	422
('5', '657')	423
('5', '666')	424
('5', '669')	425
('5', '671')	426
('14', '685')	427
('19', '688')	428
('5', '693')	429
('14', '701')	430
('256', '84')	431
('8', '687')	432
('14', '708')	433
('14', '571')	434
('14', '572')	435
('14', '573')	436
('4', '571')	437
('4', '708')	438
('4', '701')	439
('5', '727')	440
('4', '573')	441
('5', '734')	442
('14', '735')	443
('14', '736')	444
('72', '742')	445
('4', '572')	446
('5', '751')	447
('5', '761')	448
('4', '685')	449
('5', '768')	450
('4', '770')	451
('14', '771')	452
('5', '773')	453
('5', '776')	454
('5', '778')	455
('8', '742')	456
('70', '742')	457
('7', '688')	458
('14', '775')	459
('4', '771')	460
('14', '770')	461
('4', '736')	462
('4', '735')	463
('5', '784')	464
('235', '785')	465
('5', '788')	466
('15', '790')	467
('15', '791')	468
('31', '792')	469
('24', '794')	470
('2', '795')	471
('5', '796')	472
('8', '798')	473
('49', '801')	474
('14', '802')	475
('5', '805')	476
('6', '806')	477
('43', '807')	478
('32', '812')	479
('15', '813')	480
('16', '816')	481
('15', '817')	482
('44', '806')	483
('8', '819')	484
('272', '821')	485
('5', '822')	486
('49', '824')	487
('48', '829')	488
('14', '830')	489
('251', '829')	490
('26', '792')	491
('21', '832')	492
('15', '834')	493
('33', '835')	494
('206', '835')	495
('17', '839')	496
('5', '840')	497
('206', '55')	498
('14', '843')	499
('49', '845')	500
('14', '847')	501
('15', '848')	502
('5', '850')	503
('49', '851')	504
('49', '852')	505
('14', '853')	506
('49', '855')	507
('92', '795')	508
('14', '856')	509
('15', '858')	510
('8', '860')	511
('8', '864')	512
('275', '84')	513
('5', '898')	514
('14', '900')	515
('8', '903')	516
('4', '907')	517
('5', '909')	518
('19', '911')	519
('14', '629')	520
('19', '906')	521
('7', '911')	522
('7', '906')	523
('4', '899')	524
('14', '902')	525
('273', '84')	526
('14', '899')	527
('14', '907')	528
('14', '914')	529
('4', '914')	530
('4', '902')	531
('4', '900')	532
('4', '629')	533
('303', '962')	534
('14', '979')	535
('8', '980')	536
('4', '983')	537
('4', '985')	538
('273', '986')	539
('17', '987')	540
('14', '988')	541
('4', '989')	542
('334', '993')	543
('14', '994')	544
('14', '997')	545
('4', '998')	546
('275', '986')	547
('336', '993')	548
('4', '997')	549
('4', '994')	550
('14', '1006')	551
('4', '1006')	552
('4', '988')	553
('8', '1007')	554
('14', '1008')	555
('14', '983')	556
('4', '1008')	557
('5', '1019')	558
('4', '979')	559
('14', '1021')	560
('4', '1022')	561
('4', '1021')	562
('14', '1022')	563
('275', '1003')	564
('14', '1026')	565
('14', '998')	566
('14', '989')	567
('4', '1030')	568
('5', '1032')	569
('340', '993')	570
('14', '1033')	571
('4', '1035')	572
('15', '1007')	573
('15', '1039')	574
('4', '1042')	575
('4', '1043')	576
('15', '451')	577
('15', '1046')	578
('14', '1043')	579
('16', '1048')	580
('273', '1003')	581
('5', '1053')	582
('14', '1042')	583
('5', '1055')	584
('4', '1026')	585
('15', '1056')	586
('14', '1030')	587
('14', '1035')	588
('337', '982')	589
('4', '1033')	590
('5', '1057')	591
('337', '986')	592
('14', '1060')	593
('193', '100')	594
('4', '843')	595
('14', '1073')	596
('55', '1076')	597
('173', '1077')	598
('53', '1076')	599
('165', '1076')	600
('15', '1081')	601
('92', '1087')	602
('199', '100')	603
('67', '1076')	604
('75', '1090')	605
('206', '415')	606
('4', '1060')	607
('4', '1073')	608
('347', '40')	609
('165', '1077')	610
('8', '1095')	611
('138', '1095')	612
('2', '1087')	613
('136', '1095')	614
('173', '1076')	615
('4', '1097')	616
('15', '1098')	617
('5', '1099')	618
('5', '1104')	619
('14', '1106')	620
('15', '1107')	621
('15', '1108')	622
('14', '1097')	623
('352', '40')	624
('197', '2')	625
('81', '1112')	626
('56', '1076')	627
('5', '922')	628
('4', '1106')	629
('5', '1117')	630
('246', '1163')	631
('4', '1164')	632
('387', '1163')	633
('387', '1185')	634
('5', '1186')	635
('3', '906')	636
('246', '1185')	637
('4', '1212')	638
('5', '1217')	639
('407', '1163')	640
('4', '1205')	641
('4', '1252')	642
('4', '1210')	643
('4', '1262')	644
('3', '911')	645
('431', '1275')	646
('14', '1276')	647
('14', '1277')	648
('14', '1278')	649
('14', '1279')	650
('4', '1280')	651
('17', '1281')	652
('59', '1282')	653
('14', '1283')	654
('432', '1284')	655
('44', '1285')	656
('7', '1286')	657
('45', '1288')	658
('238', '1289')	659
('4', '1290')	660
('31', '1291')	661
('19', '1286')	662
('431', '1284')	663
('4', '1293')	664
('67', '1294')	665
('67', '1295')	666
('14', '1296')	667
('14', '566')	668
('14', '1297')	669
('53', '1298')	670
('4', '1296')	671
('206', '1299')	672
('67', '1300')	673
('4', '1301')	674
('33', '1302')	675
('15', '1303')	676
('433', '1288')	677
('5', '1304')	678
('14', '1280')	679
('47', '1292')	680
('53', '1305')	681
('154', '1077')	682
('14', '1307')	683
('153', '1077')	684
('62', '2')	685
('111', '1077')	686
('67', '1285')	687
('14', '1309')	688
('4', '1310')	689
('136', '1311')	690
('67', '1313')	691
('4', '1314')	692
('63', '1315')	693
('14', '1293')	694
('14', '1290')	695
('60', '1315')	696
('4', '1317')	697
('14', '1318')	698
('94', '1320')	699
('4', '1321')	700
('14', '1322')	701
('40', '1323')	702
('4', '1324')	703
('4', '1297')	704
('251', '1325')	705
('14', '1326')	706
('4', '1278')	707
('4', '1279')	708
