user	item	feature_path
3	1800019201	[2674]
3	1800024386	[-2674, -224, -1870, 181]
3	1800359873	[-2674, -224, -1870, -181]
3	1800019301	[2674]
3	1800024574	[-2674, -224, -1870, 181]
3	1800422570	[-2674, -224, -1870, 181]
3	1800139980	[-2674, -224, -1870, 181]
3	1800350348	[2674]
3	1800021580	[-2674, -224, -1870, 181]
3	1800019822	[2674]
3	1800025331	[2674]
3	1800018548	[2674]
3	1800020789	[2674]
3	1800071965	[-2674, 224, 1514]
3	1800194750	[-2674, -224, -1870, 181]
3	1800018623	[2674]
6	1800285442	[-7744, -138, -1478, -316, 1027]
6	1800020102	[-7744, -138, -1478, -316, 1027]
6	1800019594	[-7744, 138, -3970]
6	1800350475	[-7744, -138, -1478, -316, 1027]
6	1800334348	[-7744, -138, -1478, -316, 1027]
6	1800080788	[-7744, 138, -3970]
6	1800026398	[-7744, 138, -3970]
6	1800021799	[-7744, 138, -3970]
6	1800258858	[-7744, -138, -1478, -316, 1027]
6	1800024255	[-7744, 138, -3970]
6	1800359873	[-7744, -138, -1478, -316, -1027, -1941]
6	1800026053	[-7744, 138, -3970]
6	1800019654	[-7744, -138, -1478, -316, 1027]
6	1800024141	[-7744, 138, -3970]
6	1800256345	[-7744, 138, -3970]
6	1800019304	[-7744, 138, -3970]
6	1800024300	[-7744, 138, -3970]
6	1800359665	[-7744, 138, -3970]
6	1800021618	[-7744, 138, -3970]
7	1800233344	[508]
7	1802761123	[508]
7	1800107656	[-508, 14255]
7	1800353545	[508]
7	1800057997	[508]
7	1800367822	[508]
7	1800161524	[-508, 14255]
7	1800022229	[-508, 14255]
22	1802821120	[-1628, 1478]
22	1800192965	[-1628, -1478, 4207]
22	1800022982	[1628]
22	1800086535	[-1628, -1478, 4207]
22	1800019304	[-1628, 1478]
22	1800340649	[1628]
22	1800025486	[1628]
22	1800379216	[1628]
22	1800362899	[-1628, 1478]
22	1800108021	[-1628, 1478]
22	1800354935	[1628]
22	1800353817	[1628]
22	1800026398	[1628]
30	1800350977	[104, -9880]
30	1800020489	[-104, -374, -8993, -12156]
30	1800022026	[104, -9880]
30	1800024464	[-104, -374, -8993, -12156]
30	1800240281	[-104, -374, -8993, -12156]
30	1800026398	[104, -9880]
30	1800367007	[-104, 374, 10996]
30	1800353571	[-104, -374, -8993, -12156]
30	1800234414	[104, -9880]
30	1800420528	[-104, -374, -8993, -12156]
30	1800020789	[-104, -374, -8993, -12156]
30	1800254903	[-104, -374, -8993, -12156]
30	1800019512	[104, -9880]
30	1800025913	[104, -9880]
30	1800019257	[104, -9880]
30	1800023997	[104, -9880]
30	1800024386	[104, -9880]
30	1800353477	[-104, 374, -10996, 11786]
30	1800018889	[-104, -374, -8993, -12156]
30	1800019151	[-104, 374, -10996, 11786]
30	1800018639	[-104, 374, 10996]
30	1808434256	[104, -9880]
30	1800024401	[-104, 374, -10996, -11786, 7893]
30	1800201304	[-104, 374, 10996]
30	1800360158	[104, -9880]
30	1800361191	[-104, -374, -8993, -12156]
30	1800019822	[-104, -374, -8993, -12156]
30	1800025331	[104, -9880]
30	1800018548	[-104, -374, -8993, -12156]
30	1800026869	[104, -9880]
35	1802834401	[-1593, 2047, -1377]
35	1800061638	[-1593, 2047, -1377]
35	1800026758	[-1593, 2047, -1377]
35	1800164872	[-1593, 2047, -1377]
35	1800120902	[1593, -4369]
35	1800019594	[1593, -4369]
35	1800350475	[-1593, 2047, -1377]
35	1800197968	[-1593, 2047, -1377]
35	1802956884	[1593, -4369]
35	1800058326	[1593, -4369]
35	1800109559	[1593, -4369]
35	1800022106	[1593, -4369]
35	1800026459	[1593, -4369]
35	1800174173	[1593, -4369]
46	1800230976	[4599, -17789]
46	1800019304	[4599, -17789]
46	1800020333	[-4599, 1270]
46	1800025838	[4599, -17789]
46	1800025551	[4599, -17789]
46	1800022581	[4599, -17789]
46	1800217371	[4599, -17789]
46	1800026398	[4599, -17789]
46	1800018623	[4599, -17789]
59	1800040967	[-1504, -3287, -1820, -5303, -6521, 2856]
59	1800107656	[1504]
59	1800019594	[-1504, -3287, -1820, -5303, 6521]
59	1800363151	[1504]
59	1800212880	[1504]
59	1800175507	[-1504, 3287]
59	1800112667	[-1504, 3287]
59	1802761123	[1504]
59	1800250021	[1504]
59	1800208166	[-1504, -3287, 1820]
59	1800076081	[-1504, 3287]
59	1800057265	[-1504, 3287]
59	1800023863	[-1504, -3287, -1820, -5303, -6521, 2856]
59	1800020664	[-1504, -3287, -1820, -5303, 6521]
59	1800248377	[-1504, -3287, -1820, -5303, 6521]
59	1800139450	[1504]
59	1800353477	[-1504, -3287, -1820, 5303]
59	1802816711	[-1504, -3287, 1820]
59	1800024664	[-1504, 3287]
59	1800172505	[-1504, -3287, -1820, 5303]
59	1800174173	[-1504, -3287, -1820, 5303]
59	1800077675	[-1504, -3287, 1820]
59	1800165355	[-1504, -3287, -1820, -5303, -6521, -2856, 2587, -4790]
59	1800148719	[1504]
59	1800099442	[1504]
59	1800019187	[-1504, -3287, -1820, -5303, -6521, -2856, 2587, -4790]
59	1802822645	[-1504, -3287, 1820]
59	1800209781	[-1504, -3287, 1820]
59	1800026231	[1504]
59	1800279802	[-1504, 3287]
59	1800205053	[-1504, 3287]
59	1800253182	[-1504, -3287, -1820, 5303]
62	1800217371	[1557]
62	1800359873	[-1557, -1442, 6950]
62	1800062915	[1557]
62	1800202853	[1557]
62	1803453994	[-1557, 1442, 46]
62	1800119695	[1557]
62	1800082735	[1557]
62	1800379216	[-1557, 1442, 46]
62	1800060404	[1557]
62	1800256345	[-1557, 1442, 46]
62	1800121659	[1557]
62	1800026398	[1557]
66	1800075456	[-1758, -2650, 2640]
66	1800065666	[-1758, -2650, -2640, 2326]
66	1800247909	[1758, -425]
66	1800023302	[1758, -425]
66	1800351979	[1758, -425]
66	1800053311	[1758, -425]
66	1800104240	[1758, -425]
66	1800112049	[-1758, 2650]
66	1800024275	[-1758, -2650, 2640]
66	1800253043	[-1758, 2650]
66	1800109653	[1758, -425]
66	1800353559	[1758, -425]
66	1800373145	[1758, -425]
66	1800018938	[1758, -425]
66	1800022843	[-1758, 2650]
66	1800018623	[1758, 425, 9972]
67	1800026145	[516, -475, -688]
67	1802761123	[516, -475, -688]
67	1800351401	[516, -475, -688]
67	1800020333	[516, -475, -688]
67	1800018639	[516, -475, -688]
67	1800361264	[516, -475, -688]
67	1800019665	[516, -475, -688]
67	1800161524	[516, -475, -688]
67	1800420407	[516, -475, -688]
67	1800019257	[516, -475, -688]
67	1800018810	[516, -475, -688]
69	1800021959	[592]
69	1800019594	[592]
69	1800354935	[-592, -71, 747]
69	1800020664	[592]
69	1800240281	[-592, -71, -747, 6949]
69	1800121659	[592]
69	1800026398	[592]
74	1800026053	[-705, -10085]
74	1808406322	[-705, -10085]
74	1800019955	[-705, -10085]
74	1800025652	[-705, -10085]
74	1800238578	[-705, -10085]
74	1800022581	[-705, -10085]
74	1800021531	[-705, -10085]
74	1800189499	[-705, -10085]
74	1800340927	[-705, -10085]
76	1802821120	[-4173, 8421, -4028, -1784]
76	1800112642	[4173, -3878, -6040, -23208]
76	1800205324	[4173, -3878, -6040, -23208]
76	1800018964	[-4173, 8421, -4028, -1784]
76	1800112664	[4173, -3878, -6040, -23208]
76	1800112667	[4173, -3878, -6040, -23208]
76	1800021531	[4173, -3878, -6040, -23208]
76	1800198688	[-4173, -8421, -1001, -17775, 6436, 472, 22261]
76	1800026145	[4173, -3878, -6040, -23208]
76	1800353825	[4173, -3878, -6040, -23208]
76	1800266274	[-4173, -8421, 1001, -1561]
76	1800296484	[4173, -3878, -6040, -23208]
76	1803453994	[4173, -3878, -6040, -23208]
76	1800419889	[-4173, -8421, -1001, -17775, -6436, -14459, -7149, -8445, -3085, -21903, 6293]
76	1800245829	[-4173, 8421, -4028, -1784]
76	1800136265	[-4173, 8421, -4028, -1784]
76	1800024141	[4173, -3878, -6040, -23208]
76	1800344656	[-4173, 8421, -4028, -1784]
76	1800091730	[4173, -3878, -6040, -23208]
76	1802956884	[-4173, -8421, -1001, -17775, -6436, -14459, -7149, 8445, -2881]
76	1800022106	[-4173, -8421, 1001, -1561]
76	1800196701	[4173, -3878, -6040, -23208]
76	1800055909	[-4173, -8421, -1001, -17775, -6436, -14459, -7149, 8445, -2881]
76	1803470438	[-4173, -8421, 1001, -1561]
76	1800022654	[4173, -3878, -6040, -23208]
76	1800103039	[-4173, -8421, -1001, -17775, -6436, -14459, -7149, -8445, -3085, -21903, -6293, 21279, -1931]
76	1800107656	[4173, -3878, -6040, -23208]
76	1800245898	[-4173, -8421, -1001, -17775, -6436, -14459, -7149, -8445, -3085, -21903, 6293]
76	1800341652	[-4173, 8421, -4028, -1784]
76	1800021141	[-4173, -8421, -1001, 17775, -134]
76	1800275609	[-4173, -8421, 1001, -1561]
76	1800111258	[-4173, -8421, -1001, 17775, 134, 8332]
76	1800252065	[4173, -3878, -6040, -23208]
76	1800106663	[-4173, 8421, -4028, -1784]
76	1800019111	[4173, -3878, -6040, -23208]
76	1800340649	[4173, -3878, -6040, -23208]
76	1800021677	[-4173, -8421, -1001, -17775, -6436, -14459, -7149, -8445, 3085, -11592]
76	1800353972	[-4173, -8421, -1001, -17775, -6436, 14459]
76	1800244920	[-4173, -8421, -1001, -17775, 6436, -472]
76	1800039098	[-4173, -8421, -1001, -17775, -6436, -14459, -7149, -8445, -3085, 21903]
76	1800250043	[4173, -3878, -6040, -23208]
76	1800024255	[4173, -3878, -6040, -23208]
76	1800136897	[-4173, 8421, -4028, -1784]
76	1800061638	[-4173, -8421, -1001, 17775, -134]
76	1800148679	[-4173, 8421, -4028, -1784]
76	1800018632	[-4173, -8421, -1001, -17775, -6436, -14459, 7149]
76	1800064203	[-4173, -8421, -1001, 17775, -134]
76	1800367822	[-4173, -8421, -1001, -17775, 6436, -472]
76	1800019151	[-4173, -8421, 1001, -1561]
76	1800026322	[-4173, -8421, -1001, -17775, -6436, -14459, 7149]
76	1800112338	[4173, -3878, -6040, -23208]
76	1800024275	[-4173, -8421, -1001, -17775, -6436, -14459, 7149]
76	1800022229	[-4173, -8421, -1001, 17775, -134]
76	1800050395	[-4173, 8421, -4028, -1784]
76	1800131296	[4173, -3878, -6040, -23208]
76	1800203488	[-4173, -8421, -1001, -17775, -6436, -14459, -7149, -8445, -3085, -21903, -6293, -21279, 6631]
76	1800361191	[-4173, -8421, -1001, 17775, -134]
76	1800123116	[-4173, -8421, -1001, -17775, -6436, -14459, -7149, 8445, -2881]
76	1800222974	[-4173, -8421, -1001, 17775, -134]
76	1800019714	[-4173, -8421, 1001, -1561]
76	1800268547	[-4173, 8421, -4028, -1784]
76	1800156420	[-4173, 8421, -4028, -1784]
76	1800168210	[-4173, 8421, -4028, -1784]
76	1800173852	[4173, -3878, -6040, -23208]
76	1800071965	[4173, -3878, -6040, -23208]
76	1800088353	[4173, -3878, -6040, -23208]
76	1808411942	[-4173, -8421, -1001, -17775, -6436, 14459]
76	1800354088	[-4173, 8421, -4028, -1784]
76	1800019246	[-4173, -8421, -1001, -17775, -6436, -14459, -7149, -8445, -3085, 21903]
76	1800076081	[-4173, -8421, -1001, -17775, 6436, -472]
76	1800023863	[-4173, -8421, 1001, -1561]
76	1800022843	[-4173, -8421, -1001, -17775, 6436, -472]
76	1800021319	[-4173, -8421, 1001, -1561]
76	1800020296	[-4173, 8421, -4028, -1784]
76	1800227659	[-4173, -8421, 1001, -1561]
76	1800113487	[-4173, -8421, -1001, -17775, -6436, 14459]
76	1800183637	[4173, -3878, -6040, -23208]
76	1800174422	[4173, -3878, -6040, -23208]
76	1800021339	[-4173, 8421, -4028, -1784]
76	1800140642	[4173, 3878, 7112]
76	1800062820	[-4173, -8421, -1001, 17775, -134]
76	1800179562	[4173, -3878, -6040, -23208]
76	1800025462	[-4173, -8421, -1001, -17775, 6436, -472]
76	1800233344	[4173, -3878, -6040, -23208]
76	1800212880	[4173, -3878, -6040, -23208]
76	1800214928	[4173, -3878, -6040, -23208]
76	1800243088	[-4173, -8421, -1001, -17775, 6436, -472]
76	1800080788	[4173, -3878, -6040, -23208]
76	1800080795	[4173, -3878, -6040, -23208]
76	1800183197	[-4173, -8421, -1001, -17775, -6436, -14459, -7149, 8445, -2881]
76	1800263585	[4173, -3878, -6040, -23208]
76	1800253370	[4173, -3878, -6040, -23208]
76	1800019388	[-4173, -8421, -1001, 17775, -134]
76	1800182207	[-4173, -8421, 1001, -1561]
76	1800020928	[-4173, -8421, 1001, -1561]
76	1800192965	[4173, -3878, -6040, -23208]
76	1800022982	[4173, -3878, -6040, -23208]
76	1800340431	[4173, -3878, -6040, -23208]
76	1800023508	[-4173, -8421, -1001, -17775, -6436, -14459, -7149, -8445, -3085, -21903, -6293, -21279, -6631, -21244, 6950]
76	1800353749	[-4173, -8421, -1001, -17775, 6436, -472]
76	1800058326	[-4173, -8421, -1001, -17775, 6436, -472]
76	1802814933	[-4173, 8421, -4028, -1784]
76	1800026582	[-4173, 8421, -4028, 1784, 9981]
76	1800216539	[-4173, 8421, -4028, -1784]
