user	item	feature_path
3	1800019201	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800024386	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800359873	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800019301	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800024574	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800352350	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800422570	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800350475	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800350348	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800021580	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800019822	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800019665	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800025331	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800020789	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800024381	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800071965	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800194750	[-5340, -3846, -11165, -5507, -12140, -27620]
3	1800018623	[-5340, -3846, -11165, -5507, -12140, -27620]
6	1800215641	[-15876, -10968, -23401, 19329, -24267]
6	1800285442	[15876, -7868]
6	1800249529	[15876, -7868]
6	1800026053	[15876, -7868]
6	1800019654	[15876, -7868]
6	1800020102	[15876, -7868]
6	1800019304	[-15876, 10968]
6	1800019594	[15876, -7868]
6	1800350475	[15876, -7868]
6	1800334348	[15876, -7868]
6	1800024141	[-15876, 10968]
6	1800353550	[-15876, -10968, 23401]
6	1800024300	[-15876, -10968, -23401, 19329, -24267]
6	1800359665	[-15876, -10968, 23401]
6	1800021618	[15876, -7868]
6	1800080788	[-15876, 10968]
6	1800256345	[15876, -7868]
6	1800080795	[-15876, 10968]
6	1800026398	[-15876, 10968]
6	1800024255	[15876, -7868]
7	1800233344	[3462]
7	1800194018	[3462]
7	1802761123	[-3462, 5418, 956]
7	1800107656	[-3462, 5418, 956]
7	1800353545	[-3462, 5418, 956]
7	1800057997	[3462]
7	1800367822	[3462]
7	1800161524	[3462]
9	1800023362	[-10859, 19325]
9	1800202853	[10859]
9	1800024141	[10859]
9	1800379216	[10859]
9	1800025778	[10859]
9	1800020307	[10859]
9	1800022581	[10859]
9	1800353817	[10859]
22	1802821120	[-4307, 10831]
22	1800022982	[4307]
22	1800086535	[4307]
22	1800019304	[4307]
22	1800340649	[4307]
22	1800025486	[-4307, -10831, 4574]
22	1800379216	[4307]
22	1800362899	[-4307, -10831, 4574]
22	1800180950	[-4307, 10831]
22	1800354935	[4307]
22	1800019512	[-4307, -10831, -4574, 17705]
22	1800353817	[-4307, 10831]
22	1800294557	[-4307, 10831]
30	1800350977	[10705]
30	1800353545	[10705]
30	1800020489	[-10705, -16299, -5936, -459, 5511, -31011]
30	1800022026	[-10705, -16299, -5936, -459, -5511, 7502]
30	1800350348	[-10705, -16299, -5936, -459, -5511, 7502]
30	1800024464	[-10705, 16299, -22751]
30	1800026398	[-10705, -16299, -5936, 459, -9838]
30	1800367007	[10705]
30	1800353571	[10705]
30	1800258471	[-10705, 16299, -22751]
30	1800420528	[10705]
30	1800023347	[-10705, -16299, -5936, -459, 5511, -31011]
30	1800020789	[-10705, -16299, -5936, -459, -5511, -7502, 7071]
30	1800019512	[-10705, -16299, -5936, 459, -9838]
30	1800025913	[-10705, -16299, -5936, -459, 5511, -31011]
