user	item	feature_path
3.0	1800019201.0	[4, -5933]
3.0	1800024386.0	[-4, 106]
3.0	1800359873.0	[-4, -106, -173, -1473, -11, -157]
3.0	1800019301.0	[4, -5933]
3.0	1800024574.0	[4, -5933]
3.0	1800422570.0	[-4, -106, -173, 1473]
3.0	1800139980.0	[-4, 106]
3.0	1800350348.0	[4, -5933]
3.0	1800021580.0	[-4, -106, 173]
3.0	1800019822.0	[4, -5933]
3.0	1800025331.0	[4, -5933]
3.0	1800018548.0	[4, -5933]
3.0	1800020789.0	[4, -5933]
3.0	1800071965.0	[-4, -106, 173]
3.0	1800194750.0	[-4, 106]
3.0	1800018623.0	[4, -5933]
6.0	1800359873.0	[-13, -5934, -11, -82]
6.0	1800285442.0	[13, 93]
6.0	1800068037.0	[-13, 5934]
6.0	1800019654.0	[13, 93]
6.0	1800020102.0	[13, 93]
6.0	1800019304.0	[13, -93, 17, -5935]
6.0	1800021799.0	[13, -93, 17, -5935]
6.0	1800019594.0	[13, 93]
6.0	1800350475.0	[13, 93]
6.0	1800334348.0	[13, 93]
6.0	1800024141.0	[13, 93]
6.0	1800024300.0	[13, -93, 17, -5935]
6.0	1800258858.0	[13, 93]
6.0	1800359665.0	[13, -93, 17, -5935]
6.0	1800021618.0	[13, -93, 17, -5935]
6.0	1800080788.0	[13, 93]
6.0	1800256345.0	[13, 93]
6.0	1800080795.0	[-13, 5934]
6.0	1800026398.0	[13, -93, 17, -5935]
6.0	1800024255.0	[13, -93, 17, -5935]
7.0	1800233344.0	[35, -5936]
7.0	1802761123.0	[35, -5936]
7.0	1800107656.0	[35, -5936]
7.0	1800353545.0	[35, -5936]
7.0	1800057997.0	[35, -5936]
7.0	1800367822.0	[35, -5936]
7.0	1800161524.0	[35, -5936]
7.0	1800022229.0	[35, -5936]
22.0	1802821120.0	[-1444, 55]
22.0	1800192965.0	[-1444, 55]
22.0	1800022982.0	[-1444, 55]
22.0	1800020296.0	[-1444, 55]
22.0	1800340649.0	[1444, 5937]
22.0	1800019304.0	[-1444, 55]
22.0	1800025486.0	[-1444, 55]
22.0	1800379216.0	[-1444, 55]
22.0	1800362899.0	[-1444, 55]
22.0	1800353813.0	[-1444, 55]
22.0	1800180950.0	[-1444, 55]
22.0	1800354935.0	[-1444, -55, 1500]
22.0	1800019512.0	[-1444, 55]
22.0	1800353817.0	[-1444, 55]
22.0	1800108021.0	[-1444, 55]
22.0	1800026205.0	[-1444, 55]
30.0	1800350977.0	[1310]
30.0	1800020489.0	[1310]
30.0	1800022026.0	[-1310, -567, -42, 999]
30.0	1800353545.0	[-1310, 567]
30.0	1800350348.0	[-1310, -567, -42, -999, -1037, 160, -412, 2389]
30.0	1800024464.0	[1310]
30.0	1800018964.0	[-1310, -567, -42, -999, -1037, 160, 412]
30.0	1800240281.0	[-1310, -567, 42, -5938]
30.0	1800026398.0	[1310]
30.0	1800367007.0	[1310]
30.0	1800353571.0	[-1310, 567]
30.0	1800258471.0	[-1310, -567, 42, -5938]
30.0	1800023347.0	[-1310, -567, -42, -999, 1037, -5803]
30.0	1800020789.0	[1310]
30.0	1800254903.0	[1310]
30.0	1800019512.0	[-1310, -567, -42, -999, -1037, 160, 412]
30.0	1800025913.0	[-1310, -567, -42, 999]
30.0	1800023997.0	[-1310, -567, -42, 999]
30.0	1800353477.0	[1310]
30.0	1800018889.0	[-1310, -567, 42, -5938]
30.0	1800018639.0	[-1310, -567, 42, -5938]
30.0	1800019151.0	[-1310, -567, -42, -999, 1037, -5803]
30.0	1808434256.0	[1310]
30.0	1800024401.0	[-1310, -567, -42, -999, 1037, -5803]
30.0	1800201304.0	[-1310, -567, -42, 999]
30.0	1800360158.0	[-1310, 567]
30.0	1800361191.0	[-1310, 567]
30.0	1800019822.0	[-1310, -567, 42, -5938]
30.0	1800025331.0	[-1310, -567, -42, -999, -1037, 160, 412]
30.0	1800026869.0	[-1310, -567, 42, -5938]
30.0	1800350842.0	[-1310, 567]
35.0	1800048705.0	[1, -657, -1421]
35.0	1802834401.0	[1, -657, -1421]
35.0	1800296484.0	[1, -657, -1421]
35.0	1800026758.0	[-1, 5939]
35.0	1800120902.0	[1, -657, -1421]
35.0	1800164872.0	[1, -657, -1421]
35.0	1800019594.0	[1, -657, -1421]
35.0	1800350475.0	[-1, 5939]
35.0	1800197968.0	[1, -657, -1421]
35.0	1802956884.0	[-1, -5939, 5940]
35.0	1800058326.0	[1, -657, -1421]
35.0	1800109559.0	[1, -657, -1421]
35.0	1800022106.0	[1, -657, -1421]
35.0	1800026459.0	[1, -657, -1421]
35.0	1800174173.0	[1, -657, -1421]
46.0	1800230976.0	[111]
46.0	1800019304.0	[-111, 1918]
46.0	1800020333.0	[111]
46.0	1800025838.0	[111]
46.0	1800025551.0	[-111, 1918]
46.0	1800022581.0	[111]
46.0	1800217371.0	[111]
46.0	1800026398.0	[111]
46.0	1800018623.0	[111]
59.0	1800040967.0	[-94, -190, -5469, 945]
59.0	1800107656.0	[-94, -190, 5469]
59.0	1800363151.0	[-94, 190]
59.0	1800212880.0	[94, -5941]
59.0	1800175507.0	[-94, 190]
59.0	1800018710.0	[94, -5941]
59.0	1802761123.0	[94, -5941]
59.0	1800250021.0	[94, -5941]
