user	item	feature_path
40.0	1800026145.0	[2]
40.0	1800119695.0	[2]
45.0	1800233344.0	[-137]
45.0	1800067581.0	[-137]
46.0	1800230976.0	[77, -138]
46.0	1800020333.0	[77, -138]
46.0	1800025838.0	[77, -138]
46.0	1800018639.0	[77, -138]
46.0	1800019506.0	[77, -138]
46.0	1800022581.0	[77, -138]
46.0	1800217371.0	[77, -138]
46.0	1800026398.0	[77, -138]
46.0	1800018623.0	[77, -138]
47.0	1800061106.0	[139]
47.0	1800071079.0	[139]
50.0	1800243088.0	[140, -141]
50.0	1802834401.0	[140, -141]
50.0	1800216539.0	[140, -141]
50.0	1800018964.0	[140, -141]
52.0	1800057561.0	[39]
52.0	1800023786.0	[39]
52.0	1800219620.0	[39]
52.0	1800243949.0	[39]
55.0	1800019267.0	[11, -142]
55.0	1800192947.0	[11, -142]
55.0	1800353559.0	[11, -142]
55.0	1800025816.0	[11, -142]
55.0	1800172505.0	[11, -142]
56.0	1800243791.0	[-13, 143, -144]
56.0	1800249488.0	[13]
56.0	1802832670.0	[13]
56.0	1800232239.0	[13]
56.0	1800019191.0	[13]
56.0	1808405886.0	[-13, 143, -144]
59.0	1800107656.0	[145, -146, -15, 147, 45, -95]
59.0	1800019594.0	[145, -146, -15, 147, 45, -95]
59.0	1800212880.0	[145, -146, 15, -148]
59.0	1800175507.0	[145, -146, -15, 147, 45, -95]
59.0	1800018710.0	[145, -146, 15, -148]
59.0	1800026231.0	[145, -146, 15, -148]
59.0	1800420000.0	[145, -146, -15, 147, -45, 149]
59.0	1802761123.0	[145, -146, 15, -148]
59.0	1800208166.0	[145, -146, 15, -148]
59.0	1800175532.0	[145, -146, -15, 147, 45, -95]
59.0	1800076081.0	[145, -146, -15, 147, 45, -95]
59.0	1800057265.0	[145, -146, -15, 147, 45, -95]
59.0	1800288820.0	[145, -146, 15, -148]
59.0	1800023863.0	[145, -146, 15, -148]
59.0	1800020664.0	[145, -146, -15, 147, 45, -95]
59.0	1800248377.0	[145, -146, 15, -148]
59.0	1800139450.0	[145, -146, 15, -148]
59.0	1800030906.0	[145, -146, -15, 147, -45, 149]
59.0	1800023875.0	[145, -146, -15, 147, 45, -95]
59.0	1800353477.0	[145, -146, -15, 147, 45, -95]
59.0	1802816711.0	[145, -146, 15, -148]
59.0	1800353483.0	[145, -146, -15, 147, -45, -149, -150, -140]
59.0	1800201809.0	[145, -146, -15, 147, 45, -95]
59.0	1800209234.0	[145, -146, -15, 147, 45, -95]
59.0	1800024664.0	[145, -146, -15, 147, 45, -95]
59.0	1800174173.0	[145, -146, -15, 147, 45, -95]
59.0	1800023777.0	[145, -146, 15, -148]
59.0	1800077675.0	[145, -146, -15, 147, 45, -95]
59.0	1800165355.0	[145, -146, -15, 147, -45, -149, -150, -140]
59.0	1800019187.0	[145, -146, -15, 147, -45, -149, -150, 140, 151]
59.0	1802822645.0	[145, -146, 15, -148]
59.0	1800209781.0	[145, -146, -15, 147, -45, 149]
59.0	1800019191.0	[145, -146, 15, -148]
59.0	1800279802.0	[145, -146, 15, -148]
59.0	1800205053.0	[145, -146, -15, 147, -45, -149, -150, 140, 151]
59.0	1800208766.0	[145, -146, -15, 147, -45, -149, -150, -140]
62.0	1800217371.0	[80]
62.0	1800359873.0	[-80, -79, -152, -153]
62.0	1800062915.0	[80]
62.0	1800019594.0	[80]
62.0	1800119695.0	[-80, 79]
62.0	1800082735.0	[80]
62.0	1800379216.0	[80]
62.0	1800161524.0	[80]
62.0	1800022581.0	[80]
62.0	1800060404.0	[-80, 79]
62.0	1800121659.0	[80]
62.0	1800026398.0	[80]
63.0	1800340322.0	[154]
63.0	1800228585.0	[-154, 155]
63.0	1800021290.0	[154]
63.0	1800103151.0	[154]
63.0	1800182293.0	[154]
