user	item	feature_path
40.0	1800026145.0	[30]
40.0	1800119695.0	[30]
45.0	1800233344.0	[31]
45.0	1800067581.0	[31]
46.0	1800230976.0	[32, -33, -34]
46.0	1800020333.0	[32, -33, -34]
46.0	1800025838.0	[32, -33, -34]
46.0	1800018639.0	[-32, 35]
46.0	1800019506.0	[32, -33, -34]
46.0	1800022581.0	[32, -33, -34]
46.0	1800217371.0	[32, -33, -34]
46.0	1800026398.0	[32, -33, -34]
46.0	1800018623.0	[32, -33, -34]
47.0	1800061106.0	[36]
47.0	1800071079.0	[36]
50.0	1800243088.0	[37]
50.0	1802834401.0	[37]
50.0	1800216539.0	[37]
50.0	1800018964.0	[-37, 38]
52.0	1800057561.0	[39, -40, -41]
52.0	1800023786.0	[39, -40, -41]
52.0	1800219620.0	[39, -40, -41]
52.0	1800243949.0	[39, -40, -41]
55.0	1800019267.0	[11, -42, -43, -44]
55.0	1800192947.0	[11, -42, -43, -44]
55.0	1800353559.0	[11, -42, -43, -44]
55.0	1800025816.0	[11, -42, -43, -44]
55.0	1800172505.0	[11, -42, -43, -44]
56.0	1800243791.0	[45, 46]
56.0	1800249488.0	[45, 46]
56.0	1802832670.0	[45, 46]
56.0	1800232239.0	[45, 46]
56.0	1800019191.0	[45, 46]
56.0	1808405886.0	[-45, 47]
59.0	1800107656.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800019594.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800212880.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800175507.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800018710.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800026231.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800420000.0	[-45, -15, -62, -63, 64]
59.0	1802761123.0	[-45, 15, 65, -66]
59.0	1800208166.0	[-45, 15, 65, -66]
59.0	1800175532.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800076081.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800057265.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800288820.0	[-45, 15, -65, 67]
59.0	1800023863.0	[-45, 15, 65, -66]
59.0	1800020664.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800248377.0	[-45, 15, 65, -66]
59.0	1800139450.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800030906.0	[-45, -15, -62, 63]
59.0	1800023875.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800353477.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1802816711.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800353483.0	[-45, -15, -62, 63]
59.0	1800201809.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800209234.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800024664.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800174173.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800023777.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800077675.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800165355.0	[-45, -15, -62, -63, -64, 68]
59.0	1800019187.0	[-45, -15, -62, -63, -64, -68, 69]
59.0	1802822645.0	[-45, 15, 65, -66]
59.0	1800209781.0	[-45, -15, 62, -70]
59.0	1800019191.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800279802.0	[45, -48, -49, -50, -51, -52, -53, -54, -55, -56, -57, -58, -59, -60, -61]
59.0	1800205053.0	[-45, -15, 62, -70]
59.0	1800208766.0	[-45, -15, 62, -70]
62.0	1800217371.0	[-26, 71]
62.0	1800359873.0	[-26, -71, -72, -73]
62.0	1800062915.0	[26, -74, -75]
62.0	1800019594.0	[26, -74, -75]
62.0	1800119695.0	[26, -74, -75]
62.0	1800082735.0	[26, -74, -75]
62.0	1800379216.0	[26, -74, -75]
62.0	1800161524.0	[26, -74, -75]
62.0	1800022581.0	[26, -74, -75]
62.0	1800060404.0	[26, -74, -75]
62.0	1800121659.0	[26, -74, -75]
62.0	1800026398.0	[26, -74, -75]
63.0	1800340322.0	[76, 77]
63.0	1800228585.0	[-76, 78]
63.0	1800021290.0	[76, 77]
63.0	1800103151.0	[76, 77]
63.0	1800182293.0	[76, 77]
