feature,mapped_value
"('357', '970985')",1
"('2434', '3974705')",2
"('1494', '361254')",3
"('3535', '1304', '2534967')",4
"('2434', '1304', '328589')",5
"('357', '4352413')",6
"('357', '4551188')",7
"('1304', '1889', '2205832')",8
"('357', '1304', '3855184')",9
"('357', '2721635')",10
"('1494', '1036906')",11
"('357', '357', '2615926')",12
"('1304', '4393280')",13
"('1494', '1185271')",14
"('357', '2244903')",15
"('357', '357', '3592962')",16
"('357', '3287076')",17
"('357', '175441')",18
"('357', '357', '52890')",19
"('3535', '1494', '761104')",20
"('1304', '3943014')",21
"('357', '1883121')",22
"('357', '698175')",23
"('357', '1494', '3951841')",24
"('1010', '357', '4273533')",25
"('357', '2542397')",26
"('357', '357', '3900505')",27
"('1304', '4592158')",28
"('1304', '1446331')",29
"('1494', '626278')",30
"('357', '1494', '1185271')",31
"('357', '1304', '1107722')",32
"('357', '1304', '2093020')",33
"('357', '3592962')",34
"('357', '2508763')",35
"('1494', '3780900')",36
"('357', '4172601')",37
"('357', '3157', '344151')",38
"('357', '1494', '3121129')",39
"('357', '1304', '4668394')",40
"('1304', '1304', '4259848')",41
"('357', '357', '3262742')",42
"('357', '357', '4073166')",43
"('1304', '2434', '1099103')",44
"('357', '1954723')",45
"('1304', '2469848')",46
"('1304', '357', '2555988')",47
"('357', '2185162')",48
"('357', '1304', '1525859')",49
"('2434', '2697676')",50
"('357', '357', '4644213')",51
"('357', '2554892')",52
"('2434', '2757755')",53
"('357', '907692')",54
"('357', '357', '2086415')",55
"('1304', '357', '3631342')",56
"('357', '1906552')",57
"('1304', '4845416')",58
"('357', '2953', '2107953')",59
"('357', '3495000')",60
"('357', '1390858')",61
"('357', '1116126')",62
"('357', '357', '792288')",63
"('357', '3535', '3916203')",64
"('357', '3748666')",65
"('357', '3902288')",66
"('1304', '4692967')",67
"('1780', '1883121')",68
"('3535', '357', '4864318')",69
"('357', '17464')",70
"('357', '3535', '2069513')",71
"('1304', '725606')",72
"('1304', '941521')",73
"('357', '4605403')",74
"('2434', '2901964')",75
"('357', '3299473')",76
"('357', '633768')",77
"('2807', '1304', '1525859')",78
"('357', '4475165')",79
"('1494', '830844')",80
"('357', '1304', '633096')",81
"('2434', '3787562')",82
"('1304', '573584')",83
"('357', '1494', '3618679')",84
"('357', '1304', '628848')",85
"('357', '1494', '48883')",86
"('2434', '4352413')",87
"('1494', '1182760')",88
"('357', '1494', '4220858')",89
"('357', '714986')",90
"('3535', '1494', '2477381')",91
"('1304', '1731093')",92
"('1304', '3535', '3377168')",93
"('1304', '870538')",94
"('357', '1323679')",95
"('1304', '3201707')",96
"('2434', '3002584')",97
"('357', '1809473')",98
"('3535', '1494', '3121129')",99
"('2434', '2970173')",100
"('1304', '2493840')",101
"('357', '435574')",102
"('357', '1674613')",103
"('2434', '1339036')",104
"('357', '3386713')",105
"('3147', '2939131')",106
"('357', '4158681')",107
"('2434', '2645', '2389496')",108
"('357', '4871073')",109
"('2667', '2550395')",110
"('2434', '3287076')",111
"('357', '3024715')",112
"('2434', '357', '3262742')",113
"('1472', '651663')",114
"('357', '4311690')",115
"('357', '3535', '3313393')",116
"('1304', '1304', '1324493')",117
"('1304', '1304', '3862494')",118
"('357', '1304', '3169686')",119
"('2667', '1706973')",120
"('1494', '1545447')",121
"('1494', '736787')",122
"('357', '529804')",123
"('2434', '4547448')",124
"('2434', '1494', '1501098')",125
"('357', '2285876')",126
"('1494', '3257198')",127
"('1304', '1668524')",128
"('1010', '2434', '1020958')",129
"('357', '1494', '3008502')",130
"('357', '1822567')",131
"('357', '881052')",132
"('1304', '1494', '2477381')",133
"('357', '2461875')",134
"('357', '3157', '3928224')",135
"('357', '2434', '4010213')",136
"('357', '1884633')",137
"('357', '2479187')",138
"('1304', '2224490')",139
"('1010', '1245', '1111778')",140
"('1494', '2942084')",141
"('357', '357', '851687')",142
"('1304', '1494', '3394367')",143
"('357', '357', '1663003')",144
"('1494', '865573')",145
"('357', '1494', '599818')",146
"('2841', '782309')",147
"('3157', '1494', '1501098')",148
"('357', '1494', '2258856')",149
"('357', '1304', '3293305')",150
"('3535', '1494', '4795000')",151
"('1304', '3192288')",152
"('2434', '1194311')",153
"('1494', '4346383')",154
"('644', '1304', '1888623')",155
"('357', '1494', '1813527')",156
"('357', '1304', '4320872')",157
"('357', '1290875')",158
"('357', '3991899')",159
"('357', '3350620')",160
"('357', '1304', '1604084')",161
"('357', '1304', '1874531')",162
"('357', '3875271')",163
"('1304', '1249706')",164
"('357', '1494', '1545447')",165
"('357', '2434', '1445877')",166
"('1304', '3535', '1129616')",167
"('2434', '4431666')",168
"('357', '2500491')",169
"('357', '2721991')",170
"('1304', '357', '531509')",171
"('2434', '2872597')",172
"('357', '2217438')",173
"('3535', '1304', '3855184')",174
"('1494', '1282583')",175
"('357', '3443659')",176
"('1304', '1028302')",177
"('357', '73582')",178
"('357', '2594801')",179
"('1494', '2258856')",180
"('357', '1494', '2477381')",181
"('357', '2074589')",182
"('357', '357', '282232')",183
"('357', '4040448')",184
"('357', '437108')",185
"('1304', '2498831')",186
"('1494', '3572415')",187
"('357', '357', '4794246')",188
"('1304', '3535', '3962432')",189
"('357', '357', '981428')",190
"('357', '973224')",191
"('357', '1304', '2016463')",192
"('357', '2328816')",193
"('3535', '35', '2053166')",194
"('357', '2597240')",195
"('357', '1304', '1888623')",196
"('357', '1304', '4081261')",197
"('357', '1304', '4075027')",198
"('357', '1494', '4610339')",199
"('357', '1304', '4411619')",200
"('357', '1010', '90731')",201
"('1494', '3431484')",202
"('357', '1010', '292490')",203
"('2834', '2472851')",204
"('357', '781090')",205
"('3188', '1494', '2477381')",206
"('357', '1494', '3780900')",207
"('357', '1494', '3533533')",208
"('1304', '2016463')",209
"('1304', '2434', '4178059')",210
"('357', '357', '667296')",211
"('1494', '3014532')",212
"('357', '1304', '1147556')",213
"('357', '2434', '2059220')",214
"('3535', '1304', '2557563')",215
"('3103', '1494', '3394367')",216
"('1494', '1813527')",217
"('2434', '2781215')",218
"('1304', '357', '3272073')",219
"('1010', '1103', '305846')",220
"('1304', '3252946')",221
"('2807', '4543260')",222
"('2667', '291798')",223
"('357', '3457320')",224
"('357', '3391979')",225
"('2434', '357', '1987100')",226
"('357', '4231537')",227
"('1494', '2984390')",228
"('1494', '4610339')",229
"('357', '1304', '390285')",230
"('1304', '1494', '3559209')",231
"('357', '357', '3914626')",232
